place_id,name,types,main_category
ChIJ5ShcgrzBwjsRBzk82Soyolk,J.K. Stationery,"store, point_of_interest, establishment",retail_general
ChIJOUQO1_vBwjsRHSCjeRehdYQ,Food City,"grocery_or_supermarket, food, store, point_of_interest, establishment",retail_general
ChIJtQ2Zp27BwjsR4FhIX5AQte4,New gokul stationary,"store, point_of_interest, establishment",retail_general
ChIJxw_WVLvBwjsRhrqUcgPiJ8k,Sam's Cake Shop,"bakery, food, store, point_of_interest, establishment",food
ChIJ4Rvm-pvBwjsRtjvWPESZ6k0,Sanskruti Pooja Shop,"food, store, point_of_interest, establishment",retail_general
ChIJ4Rue5TfAwjsRc817gUO35-I,Khadda Market,"point_of_interest, establishment",other
ChIJrVja-ejBwjsRWwlkzRBYCLI,"The White Crow, Pune","point_of_interest, store, establishment",retail_general
ChIJ01m1WCzBwjsRuxSCPatJeeI,Ishwar trends,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJY3hgiVvBwjsRYOnjZI-gEbo,Jagannath smart mart,"grocery_or_supermarket, food, store, point_of_interest, establishment",retail_general
ChIJE9MD1y7BwjsREafYvib1KZE,J AND G COLLECTION,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJi-YLilvBwjsR9tWhhlt1a5A,S K Household,"store, point_of_interest, establishment",retail_general
ChIJL150ip_BwjsRd1erxFj6fkM,Ojas Natura,"grocery_or_supermarket, food, store, point_of_interest, establishment",retail_general
