place_id,name,latitude,longitude,address,types,rating,user_ratings_total,business_status
ChIJKx1mDXHAwjsRlMrdxcxP-f8,Valisha Silks | Paithani | Traditional Wedding | Bridal | Pure Silk Sarees,18.5131488,73.8479337,"GR7X+9JF, RB Kumthekar Road, Perugate, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.3,576,OPERATIONAL
ChIJ4YKcrKDqwjsRT3klW7U0wEI,The Hanger- it's Beauties Choice,18.4835709,73.85958339999999,"Opposite Desai Hospital, Shop no.6 Pushpa chamber, Padam society, Opposite Desai Hospital, Bibvewadi Road, Pune","clothing_store, point_of_interest, store, establishment",5,4,OPERATIONAL
ChIJYWfwOXHAwjsRc9-gCng1am8,Vastrakala Silk,18.5133813,73.8482093,"Chitrashala Bhavan, opposite Karad Bank, 562, Tatyasaheb Karandikar Road, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.1,24,OPERATIONAL
ChIJ0U1qR3HAwjsRMlkf48YF_q0,Vastrarupam Silks and Sarees,18.513204,73.848792,"Chitrashala Housing Society, Sushila Niketan, chowk, RB Kumthekar Road, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.3,95,OPERATIONAL
ChIJp5mpEXPAwjsRbFJQ6Sa8xHA,Music Lovers,18.5074614,73.851327,"2016, Tilak Road, Madiwale Colony, Sadashiv Peth, Pune","electronics_store, home_goods_store, store, point_of_interest, establishment",4.3,580,OPERATIONAL
ChIJUywr2RXAwjsRO_652QWosyQ,YASH COMPUTRES - यश कॉम्प्युटर्स,18.500905,73.8393378,"Mhasoba Chowk, Dattawadi, Pune 411030, Pune","electronics_store, store, point_of_interest, establishment",4.7,33,OPERATIONAL
ChIJhSYTMty_wjsRwe9_aLPE3Us,Tech-Savy Services,18.4872066,73.8479681,"Panse Path, Sahakarnagar No - 2, Namdev society, Pune","electronics_store, store, point_of_interest, establishment",4.3,3,CLOSED_TEMPORARILY
ChIJHa_uCs-5wjsRyBcZQwnm-JY,Gaze IT Solutions Private Limited,18.5026392,73.844867,"1st Floor, West Wing, Lal Bahadur Shastri Road, Navi Peth, Pune","electronics_store, store, point_of_interest, establishment",4.9,99,OPERATIONAL
ChIJ____vyLAwjsRcK0beIZbV4w,ACS Infotech Old Laptops Dealer,18.5104296,73.8464642,"Shop no, beside Cosmos Bank ATM, near Durvankur Hotel, 12 and 13, Tilak Road, Sadashiv Peth, Pune","electronics_store, store, point_of_interest, establishment",3.8,159,OPERATIONAL
ChIJsS6OURLAwjsRTAh_A3Nv0Sc,Indpro Electronic Systems (India) Private Limited,18.5027914,73.8572129,"2nd Floor, Krupashri, Hira Baug, 1084, Tilak Road, Shukrawar Peth, Hira Baug, Pune","electronics_store, store, point_of_interest, establishment",5,5,OPERATIONAL
ChIJVz71KQvAwjsRSY6Bq9vdcpU,Info Indica Industrial & Personal Computer Sales & Services,18.5058711,73.84486400000002,"Flat no-28, Building no-3, Navi Peth, opp kaka halwai sweet mart, Lokamanya Nagar, Navi Peth, Sadashiv Peth, Pune","electronics_store, store, point_of_interest, establishment",4.4,9,CLOSED_TEMPORARILY
ChIJ_____3TAwjsRGc0ZVCcLSjs,Pearltech System (pcpune),18.5056266,73.8504937,"2105, Radhavi, behind SIR PARASHURAMBHAU COLLEGE, Vijayanagar Colony, Sadashiv Peth, Pune","electronics_store, store, point_of_interest, establishment",4.7,834,OPERATIONAL
ChIJYWXFp2XAwjsRwjRaa9ep4wk,Bitscan Services Pvt Ltd,18.5077121,73.8350832,"B-1, Patil Regency, Erandawane, Near Sharda Center, Erandawane, Patil Regency Internal Road, Erandwana Gaothan, Erandwane, Pune","electronics_store, store, point_of_interest, establishment",3.4,5,OPERATIONAL
ChIJ_a7wjBDAwjsR0kJvYWGYbmU,SB Computers,18.4966395,73.8567261,"106,110,1st Floor,Paras Chamber,Near Laxmi Narayan Theatre Above Bank Of India,Towards Mitra-Manadal Chowk, Parvati Road, Swargate, Pune","electronics_store, store, point_of_interest, establishment",4.9,1153,OPERATIONAL
